单词,词频
from,413
more,305
will,259
than,253
section,200
based,186
passage,180
questions,177
people,159
just,154
there,153
through,152
letter,150
part,140
sheet,128
minutes,112
once,111
like,109
heard,107
only,105
work,104
single,98
after,93
line,89
said,88
would,87
children,85
should,83
students,82
following,82
data,80
world,76
choose,76
parents,75
hear,75
choices,74
over,73
could,73
most,71
mark,69
information,69
answer,69
says,68
marked,66
research,65
math,65
bank,64
even,63
while,62
conversation,59
university,58
problems,58
before,58
years,56
because,56
school,54
high,53
help,53
technology,52
study,52
health,52
year,51
making,51
between,51
where,50
life,50
given,50
researchers,49
words,48
recording,47
online,47
found,46
directions,46
around,46
less,45
been,45
statements,42
likely,42
going,42
college,42
science,41
products,41
companies,41
allowed,41
social,40
human,40
during,40
water,39
take,39
required,39
make,39
write,38
well,38
scientists,38
might,38
long,38
better,38
being,38
become,38
used,37
public,37
education,37
best,37
important,36
comprehension,36
change,36
think,35
industry,35
good,35
american,35
need,34
class,34
care,34
still,33
money,33
however,33
food,33
first,33
against,33
government,32
energy,32
choice,32
among,32
according,32
workers,31
prices,31
often,31
hours,31
countries,31
very,30
different,30
cdirections,30
adirections,30
rather,29
made,29
future,29
development,29
costs,29
bdirections,29
waste,28
does,28
chinese,28
business,28
system,27
same,27
reading,27
read,27
merian,27
last,27
instead,27
farmers,27
emissions,27
cost,27
company,27
climate,27
apple,27
space,26
sharing,26
home,26
half,26
find,26
environment,26
contains,26
taking,25
since,25
risk,25
others,25
identify,25
down,25
decide,25
cities,25
back,25
attention,25
term,24
skills,24
robots,24
place,24
photos,24
percent,24
needs,24
growing,24
group,24
great,24
feel,24
benefits,24
away,24
attached,24
word,23
whether,23
teachers,23
schools,23
sales,23
potential,23
plants,23
jobs,23
income,23
here,23
enough,23
economic,23
changes,23
young,22
states,22
retail,22
problem,22
open,22
number,22
large,22
item,22
families,22
control,22
carefully,22
working,21
want,21
twoquestions,21
times,21
though,21
stores,21
relationships,21
program,21
positive,21
please,21
performance,21
paragraphs,21
major,21
including,21
importance,21
impact,21
history,21
hard,21
ever,21
especially,21
come,21
century,21
called,21
blanks,21
blank,21
advertising,21
across,21
access,21
using,20
under,20
translation,20
today,20
then,20
state,20
species,20
something,20
show,20
satellites,20
programs,20
onequestions,20
nations,20
devices,20
academic,20
ways,19
universities,19
recognition,19
free,19
expensive,19
demand,19
decision,19
customers,19
country,19
behaviors,19
value,18
tend,18
success,18
services,18
satellite,18
risks,18
retailers,18
real,18
quality,18
possible,18
plan,18
perhaps,18
million,18
medical,18
media,18
level,18
internet,18
higher,18
environmental,18
studies,17
small,17
sleep,17
serious,17
resources,17
price,17
popular,17
past,17
issues,17
humans,17
having,17
global,17
family,17
easy,17
easily,17
driving,17
consumers,17
conditions,17
communities,17
communication,17
clear,17
businesses,17
areas,17
almost,17
training,16
thinking,16
stress,16
scientific,16
robot,16
rice,16
recovery,16
person,16
national,16
mental,16
management,16
lives,16
listening,16
helps,16
followed,16
experience,16
doing,16
decisions,16
conversations,16
comes,16
bring,16
adults,16
until,15
thing,15
technologies,15
steinberg,15
seem,15
right,15
report,15
rates,15
published,15
progress,15
policy,15
packaging,15
nearly,15
levels,15
learning,15
later,15
lack,15
game,15
friends,15
fashion,15
farrant,15
face,15
efforts,15
earth,15
differences,15
common,15
carbon,15
benefit,15
already,15
africa,15
actually,15
woman,14
unemployment,14
traditional,14
things,14
teenagers,14
team,14
survey,14
